NoteOn Events (time_stamp, midi_note, velocity):
0.60810825,45,71
0.810811,72,127
0.810811,45,83
1.01351375,45,83
1.2162165,71,127
1.2162165,45,83
1.61993281042,53,92
1.621622,69,127
1.621622,41,100
1.621622,67,92
1.621622,72,92
1.621622,65,83
1.621622,53,100
1.621622,36,100
1.621622,49,96
1.95777072708,60,86
1.95945991667,67,127
1.95945991667,42,62
2.36317622708,67,86
2.36486541667,67,127
2.36486541667,65,86
2.36486541667,72,92
2.36486541667,40,100
2.36486541667,42,96
2.77027091667,64,127
2.77027091667,41,92
2.77027091667,65,80
2.77027091667,42,89
2.77027091667,36,92
2.97297366667,67,127
3.07601423125,36,100
3.07601423125,72,83
3.07601423125,67,92
3.07601423125,64,71
3.07601423125,60,83
3.07601423125,48,92
3.07601423125,36,105
3.07601423125,42,96
3.466217025,65,77
3.466217025,42,89
3.668919775,67,65
3.86993333542,60,96
3.871622525,72,127
3.871622525,72,96
3.871622525,50,100
3.871622525,42,115
3.871622525,40,115
4.07263608542,64,96
4.074325275,67,75
4.27533883542,67,80
4.277028025,71,127
4.277028025,36,80
4.277028025,65,86
4.277028025,52,92
4.277028025,42,105
4.47804158542,69,86
4.479730775,67,61
4.60979837292,67,96
4.60979837292,65,92
4.60979837292,72,96
4.6114875625,69,127
4.6114875625,41,100
4.6114875625,53,100
4.6114875625,53,105
4.6114875625,36,100
4.6114875625,42,96
4.94256872083,67,127
4.94256872083,60,83
4.94256872083,42,96
5.34628503125,60,96
5.34628503125,72,92
5.34628503125,65,96
5.34797422083,67,127
5.34797422083,67,96
5.34797422083,40,122
5.34797422083,42,105
5.75169053125,69,96
5.75337972083,64,127
5.75337972083,41,96
5.75337972083,60,86
5.75337972083,42,73
5.75337972083,36,92
5.95608247083,62,127
6.05912303542,64,127
6.05912303542,48,92
6.05912303542,60,83
6.05912303542,60,92
6.05912303542,42,105
6.05912303542,36,105
6.41892041667,53,80
6.41892041667,42,89
6.82432591667,76,127
6.82432591667,60,83
6.82432591667,64,105
6.82432591667,72,100
6.82432591667,62,77
6.82432591667,40,122
6.82432591667,42,105
7.02702866667,67,55
7.22973141667,79,127
7.22973141667,48,83
7.22973141667,72,92
7.22973141667,67,100
7.22973141667,65,69
7.22973141667,42,89
7.22973141667,36,77
7.43243416667,62,71
7.5912179875,77,127
7.5912179875,41,105
7.5912179875,53,71
7.5912179875,53,96
7.5912179875,42,105
7.5912179875,36,100
7.83277209792,76,127
7.83277209792,60,80
7.83277209792,42,89
8.03547484792,74,127
8.23817759792,72,100
8.23817759792,67,115
8.23817759792,72,80
8.23817759792,40,122
8.23817759792,42,96
8.64358309792,41,83
8.64358309792,65,86
8.64358309792,67,86
8.64358309792,42,96
8.64358309792,36,80
8.95608317083,76,127
8.95608317083,36,96
8.95608317083,67,100
8.95608317083,72,96
8.95608317083,60,92
8.95608317083,60,86
8.95608317083,60,86
8.95608317083,42,105
8.95608317083,36,105
9.26520486458,74,127
9.26520486458,65,75
9.26520486458,59,92
9.26520486458,42,69
9.46790761458,72,127
9.46790761458,67,65
9.53885357708,45,100
9.53885357708,72,96
9.53885357708,69,96
9.53885357708,64,92
9.53885357708,57,86
9.53885357708,57,100
9.53885357708,40,115
9.53885357708,42,105
9.73479956875,64,71
9.93750231875,76,127
9.93750231875,69,75
9.93750231875,52,92
9.93750231875,36,75
9.93750231875,42,96
10.1402050688,72,96
10.1672321021,74,127
10.1672321021,38,100
10.1672321021,74,86
10.1672321021,69,86
10.1672321021,65,86
10.1672321021,62,92
10.1672321021,50,96
10.1672321021,42,96
10.1672321021,36,115
10.5219619146,65,80
10.5219619146,42,83
10.9273674146,69,127
10.9273674146,72,96
10.9273674146,65,96
10.9273674146,60,92
10.9273674146,74,96
10.9273674146,42,115
10.9273674146,40,105
11.3327729146,69,127
11.3327729146,38,83
11.3327729146,69,83
11.3327729146,69,100
11.3327729146,42,96
11.3327729146,36,71
11.5354756646,71,127
11.6233135229,43,96
11.6233135229,67,92
11.6233135229,74,96
11.6233135229,55,96
11.6233135229,55,100
11.6233135229,36,105
11.6233135229,42,96
11.9712865771,42,89
12.1739893271,59,65
12.3766920771,72,127
12.3766920771,59,100
12.3766920771,67,100
12.3766920771,62,86
12.3766920771,42,105
12.3766920771,40,122
12.5793948271,67,92
12.7820975771,71,127
12.7820975771,43,92
12.7820975771,69,96
12.7820975771,60,86
12.7820975771,36,80
12.7820975771,42,105
12.9848003271,71,77
13.1182463042,69,127
13.1182463042,41,100
13.1182463042,72,100
13.1182463042,67,92
13.1182463042,65,92
13.1182463042,65,100
13.1182463042,60,92
13.1182463042,53,100
13.1182463042,36,105
13.1182463042,42,105
13.4662193583,67,127
13.4662193583,60,83
13.4662193583,42,96
13.6689221083,65,64
13.6689221083,67,52
13.8716248583,67,127
13.8716248583,72,100
13.8716248583,60,92
13.8716248583,65,92
13.8716248583,67,96
13.8716248583,65,96
13.8716248583,60,96
13.8716248583,42,105
13.8716248583,40,115
14.2770303583,64,127
14.2770303583,41,86
14.2770303583,69,86
14.2770303583,42,105
14.2770303583,36,83
14.4797331083,67,127
14.5557466396,36,96
14.5557466396,64,86
14.5557466396,67,92
14.5557466396,67,92
14.5557466396,72,86
14.5557466396,64,80
14.5557466396,48,86
14.5557466396,36,105
14.5557466396,42,105
14.8547331958,42,55
15.0574359458,72,63
15.0574359458,64,61
15.0574359458,67,71
15.2601386958,72,127
15.2601386958,60,83
15.2601386958,64,77
15.2601386958,72,83
15.2601386958,67,86
15.2601386958,42,96
15.2601386958,40,115
15.6655441958,71,127
15.6655441958,72,86
15.6655441958,64,92
15.6655441958,72,77
15.6655441958,64,80
15.6655441958,67,83
15.6655441958,36,92
15.6655441958,42,89
15.9189226333,69,127
15.9189226333,41,100
15.9189226333,65,86
15.9189226333,67,92
15.9189226333,72,92
15.9189226333,72,86
15.9189226333,65,83
15.9189226333,67,96
15.9189226333,53,92
15.9189226333,42,105
15.9189226333,36,92
16.2550713604,67,127
16.2550713604,67,60
16.2550713604,65,54
16.2550713604,72,54
16.2550713604,42,60
16.4577741104,67,69
16.4577741104,72,75
16.4577741104,65,58
16.6604768604,79,127
16.6604768604,60,86
16.6604768604,65,96
16.6604768604,72,92
16.6604768604,67,96
16.6604768604,65,77
16.6604768604,72,92
16.6604768604,40,115
16.6604768604,42,83
17.0658823604,77,127
17.0658823604,41,100
17.0658823604,69,80
17.0658823604,67,86
17.0658823604,72,83
17.0658823604,42,89
17.0658823604,36,80
17.2685851104,76,127
17.2685851104,67,71
17.3783824333,36,83
17.3783824333,64,80
17.3783824333,67,83
17.3783824333,67,92
17.3783824333,72,86
17.3783824333,64,86
17.3783824333,48,80
17.3783824333,36,105
17.3783824333,42,96
17.6993284542,42,83
17.9020312042,67,71
17.9020312042,72,61
18.1047339542,76,127
18.1047339542,60,96
18.1047339542,72,92
18.1047339542,67,86
18.1047339542,50,92
18.1047339542,40,122
18.1047339542,42,105
18.3074367042,64,96
18.5101394542,79,127
18.5101394542,67,92
18.5101394542,72,83
18.5101394542,67,80
18.5101394542,52,96
18.5101394542,42,96
18.5101394542,36,80
18.7128422042,72,80
18.8581125083,77,127
18.8581125083,41,100
18.8581125083,65,83
18.8581125083,65,83
18.8581125083,67,86
18.8581125083,72,83
18.8581125083,53,96
18.8581125083,36,100
18.8581125083,42,105
19.195950425,76,127
19.195950425,42,67
19.398653175,74,127
19.398653175,67,63
19.398653175,72,69
19.601355925,72,92
19.601355925,65,96
19.601355925,60,83
19.601355925,67,86
19.601355925,72,83
19.601355925,42,105
19.601355925,40,115
20.006761425,41,96
20.006761425,67,83
20.006761425,67,75
20.006761425,36,71
20.006761425,42,89
20.412166925,76,127
20.412166925,36,96
20.412166925,72,100
20.412166925,67,105
20.412166925,72,83
20.412166925,67,83
20.412166925,64,86
20.412166925,48,92
20.412166925,42,96
20.412166925,36,100
20.817572425,74,127
20.817572425,67,60
20.817572425,72,52
20.817572425,42,96
21.020275175,72,127
21.020275175,67,71
21.020275175,72,60
21.1706130479,45,96
21.1706130479,69,92
21.1706130479,72,86
21.1706130479,64,86
21.1706130479,72,86
21.1706130479,67,96
21.1706130479,50,92
21.1706130479,42,96
21.1706130479,40,115
21.52703205,76,127
21.52703205,64,92
21.52703205,36,80
21.52703205,42,96
21.7297348,67,61
21.8834510521,74,92
21.8834510521,69,100
21.8834510521,65,75
21.8851402417,74,127
21.8851402417,38,92
21.8851402417,65,96
21.8851402417,69,96
21.8851402417,50,92
21.8851402417,42,105
21.8851402417,36,105
22.2331132958,42,89
22.6385187958,40,115
22.6385187958,42,105
23.0422351063,74,86
23.0422351063,67,83
23.0422351063,69,96
23.0439242958,43,92
23.0439242958,71,86
23.0439242958,67,92
23.0439242958,62,80
23.0439242958,55,92
23.0439242958,36,86
23.0439242958,42,67
23.412167625,36,105
23.412167625,42,96
23.7314244563,42,89
24.1368299563,42,105
24.1368299563,40,115
24.5422354563,72,127
24.5422354563,42,96
24.5422354563,36,83
24.7466273958,72,127
24.7466273958,36,100
24.7466273958,72,86
24.7466273958,64,75
24.7466273958,67,83
24.7466273958,67,86
24.7466273958,72,83
24.7466273958,64,65
24.7466273958,65,71
24.7466273958,60,77
24.7466273958,42,105
24.7466273958,36,100
NoteOff Events (time_stamp, midi_note, velocity):
0.717905572917,45,0
0.930743460417,45,0
1.09121647083,45,0
1.2162165,72,0
1.26858137708,45,0
1.621622,71,0
1.65033822292,49,0
1.75675716667,36,0
1.84628421458,53,0
1.95101396875,65,0
1.9560815375,72,0
1.95945991667,69,0
1.97466262292,67,0
2.00000046667,42,0
2.05574372292,60,0
2.36486541667,67,0
2.4222978625,42,0
2.45439246458,40,0
2.71959522917,67,0
2.77027091667,67,0
2.77027091667,41,0
2.817568225,42,0
2.817568225,36,0
2.95439258125,65,0
2.97297366667,64,0
2.97466285625,72,0
3.07263585208,65,0
3.07601423125,53,0
3.07601423125,41,0
3.13513586667,42,0
3.24662237917,36,0
3.45270350833,64,0
3.5168927125,67,0
3.52196028125,42,0
3.58446029583,60,0
3.59290624375,65,0
3.668919775,67,0
3.7297306,72,0
3.78716304583,67,0
3.871622525,48,0
3.95101443542,42,0
3.96959552083,40,0
3.9831090375,60,0
4.02702796667,72,0
4.074325275,36,0
4.23310909583,64,0
4.27364964583,67,0
4.277028025,72,0
4.277028025,50,0
4.46790644792,42,0
4.51689294583,67,0
4.52702808333,65,0
4.54898754792,67,0
4.55236592708,69,0
4.6114875625,71,0
4.6114875625,52,0
4.6114875625,36,0
4.65878487083,42,0
4.73986597083,36,0
4.86824437917,53,0
4.8750011375,67,0
4.88006870625,72,0
4.88344708542,65,0
