NoteOn Events (time_stamp, midi_note, velocity):
0.437956,80,127
0.875912,81,127
1.09489,81,127
1.29561983333,81,127
1.47080223333,81,127
1.84032760833,80,127
2.05930560833,81,127
2.27828360833,76,127
2.49726160833,76,127
2.84488918333,85,127
3.21441455833,83,127
3.43339255833,81,127
3.65237055833,80,127
3.87134855833,80,127
4.52828255833,85,127
4.96623855833,84,127
5.18521655833,85,127
5.62317255833,86,127
5.947989925,85,127
6.385945925,83,127
6.823901925,85,127
6.92974129167,80,127
7.14871929167,80,127
7.80565329167,80,127
8.24360929167,80,127
8.46258729167,80,127
8.90054329167,80,127
9.33849929167,80,127
9.59579844167,83,127
9.95893695833,80,127
10.3968929583,81,127
11.0538269583,78,127
11.4917829583,81,127
11.7107609583,78,127
11.7171478167,84,127
12.073899475,83,127
12.292877475,83,127
12.511855475,81,127
12.8530961917,83,127
12.9534611083,81,127
13.1724391083,81,127
13.5228039083,81,127
13.905103,80,127
14.124081,81,127
14.343059,76,127
14.562037,76,127
14.909664575,85,127
15.27918995,83,127
15.49816795,81,127
15.71714595,80,127
15.93612395,80,127
16.59305795,85,127
17.03101395,84,127
17.24999195,85,127
17.68794795,86,127
18.0127653167,85,127
18.4507213167,83,127
18.8886773167,85,127
18.9945166833,80,127
19.2134946833,80,127
19.8704286833,80,127
20.3083846833,80,127
20.5273626833,80,127
20.9653186833,80,127
21.4032746833,80,127
21.6605738333,83,127
22.02371235,80,127
22.46166835,81,127
23.11860235,78,127
23.55655835,81,127
23.77553635,78,127
24.21349235,84,127
24.56385715,83,127
24.78283515,83,127
25.00181315,81,127
25.43976915,83,127
25.52736035,81,127
25.74633835,81,127
NoteOff Events (time_stamp, midi_note, velocity):
0.756386508333,80,0
1.05656885,81,0
1.29561983333,81,0
1.47080223333,81,0
1.62134960833,81,0
2.05930560833,80,0
2.27828360833,81,0
2.49726160833,76,0
2.82572860833,76,0
2.99543655833,85,0
3.43339255833,83,0
3.65237055833,81,0
3.87134855833,80,0
4.19981555833,80,0
4.96623855833,85,0
5.18521655833,84,0
5.62317255833,85,0
5.947989925,86,0
6.385945925,85,0
6.823901925,83,0
6.92974129167,85,0
7.14871929167,80,0
7.36769729167,80,0
8.13412029167,80,0
8.46258729167,80,0
8.68156529167,80,0
9.11952129167,80,0
9.55747729167,80,0
9.95893695833,83,0
10.3968929583,80,0
10.8467102667,81,0
11.4917829583,78,0
11.7107609583,81,0
11.7171478167,78,0
12.073899475,84,0
12.292877475,83,0
12.402366475,83,0
12.840322475,81,0
12.9534611083,83,0
13.1724391083,81,0
13.5100301917,81,0
13.686125,81,0
14.124081,80,0
14.343059,81,0
14.562037,76,0
14.890504,76,0
15.06021195,85,0
15.49816795,83,0
15.71714595,81,0
15.93612395,80,0
16.26459095,80,0
17.03101395,85,0
17.24999195,84,0
17.68794795,85,0
18.0127653167,86,0
18.4507213167,85,0
18.8886773167,83,0
18.9945166833,85,0
19.2134946833,80,0
19.53831205,80,0
20.1988956833,80,0
20.5273626833,80,0
20.7463406833,80,0
21.1842966833,80,0
21.6222526833,80,0
22.02371235,83,0
22.46166835,80,0
22.79013535,81,0
23.55655835,78,0
23.77553635,81,0
24.21349235,78,0
24.56385715,84,0
24.78283515,83,0
24.89232415,83,0
25.43976915,81,0
25.52736035,83,0
25.74633835,81,0
27.27918435,81,0
