NoteOn Events (time_stamp, midi_note, velocity):
480,77,100
540,79,100
600,77,100
660,79,100
720,77,100
780,75,100
840,74,100
900,70,100
960,65,100
1080,74,100
1200,72,100
1260,70,100
1440,74,100
1500,74,100
1560,74,100
1620,70,100
1680,65,100
1800,65,100
1920,74,100
1980,74,100
2040,74,100
2100,70,100
2160,74,100
2400,77,100
2460,77,100
2520,74,100
2580,70,100
2640,65,100
2700,65,100
2760,65,100
2880,67,100
2940,69,100
3000,70,100
3060,74,100
3120,72,100
3360,74,100
3420,74,100
3480,74,100
3540,70,100
3600,65,100
3720,65,100
3840,74,100
3900,74,100
3960,74,100
4020,70,100
4080,74,100
4320,77,100
4380,79,100
4440,77,100
4500,79,100
4560,77,100
4620,75,100
4680,74,100
4740,70,100
4800,65,100
4920,74,100
5040,72,100
5100,70,100
5280,75,100
5310,75,100
5340,75,100
5400,75,100
5460,77,100
5520,79,100
5580,79,100
5640,79,100
5760,72,100
5790,72,100
5820,72,100
5880,72,100
5940,72,100
6000,77,100
6240,70,100
6270,70,100
6300,70,100
6360,70,100
6420,72,100
6480,74,100
6540,74,100
6600,74,100
6720,65,100
6750,65,100
6780,65,100
6840,65,100
6900,65,100
6960,72,100
7200,77,100
7260,79,100
7320,77,100
7380,79,100
7440,77,100
7500,75,100
7560,74,100
7620,70,100
7680,72,100
7800,65,100
7920,70,100
7980,74,100
8160,77,100
8220,79,100
8280,77,100
8340,79,100
8400,77,100
8460,75,100
8520,74,100
8580,70,100
8640,65,100
8760,74,100
8880,72,100
8940,70,100
9120,74,100
9180,74,100
9240,74,100
9300,70,100
9360,65,100
9480,65,100
9600,74,100
9660,74,100
9720,74,100
9780,70,100
9840,74,100
10080,77,100
10140,77,100
10200,74,100
10260,70,100
10320,65,100
10380,65,100
10440,65,100
10560,67,100
10620,69,100
10680,70,100
10740,74,100
10800,72,100
11040,74,100
11100,74,100
11160,74,100
11220,70,100
11280,65,100
11400,65,100
11520,74,100
11580,74,100
11640,74,100
11700,70,100
11760,74,100
12000,77,100
12060,79,100
12120,77,100
12180,79,100
12240,77,100
12300,75,100
12360,74,100
12420,70,100
12480,65,100
12600,74,100
12720,72,100
12780,70,100
12960,75,100
12990,75,100
13020,75,100
13080,75,100
13140,77,100
13200,79,100
13260,79,100
13320,79,100
13440,72,100
13470,72,100
13500,72,100
13560,72,100
13620,72,100
13680,77,100
13920,70,100
13950,70,100
13980,70,100
14040,70,100
14100,72,100
14160,74,100
14220,74,100
14280,74,100
14400,65,100
14430,65,100
14460,65,100
14520,65,100
14580,65,100
14640,72,100
14880,77,100
14940,79,100
15000,77,100
15060,79,100
15120,77,100
15180,75,100
15240,74,100
15300,70,100
15360,72,100
15480,65,100
15600,70,100
15660,74,100
15840,77,100
15900,79,100
15960,77,100
16020,79,100
16080,77,100
16140,75,100
16200,74,100
16260,70,100
16320,65,100
16440,74,100
16560,72,100
16620,70,100
NoteOff Events (time_stamp, midi_note, velocity):
540,77,0
600,79,0
630,77,0
690,79,0
750,77,0
810,75,0
870,74,0
930,70,0
1020,65,0
1140,74,0
1230,72,0
1290,70,0
1470,74,0
1530,74,0
1590,74,0
1650,70,0
1740,65,0
1860,65,0
1950,74,0
2010,74,0
2070,74,0
2130,70,0
2280,74,0
2430,77,0
2490,77,0
2550,74,0
2610,70,0
2670,65,0
2730,65,0
2820,65,0
2910,67,0
2970,69,0
3030,70,0
3090,74,0
3240,72,0
3390,74,0
3450,74,0
3510,74,0
3570,70,0
3660,65,0
3780,65,0
3870,74,0
3930,74,0
3990,74,0
4050,70,0
4200,74,0
4380,77,0
4440,79,0
4470,77,0
4530,79,0
4590,77,0
4650,75,0
4710,74,0
4770,70,0
4860,65,0
4980,74,0
5070,72,0
5130,70,0
5295,75,0
5325,75,0
5370,75,0
5430,75,0
5490,77,0
5550,79,0
5610,79,0
5730,79,0
5775,72,0
5805,72,0
5850,72,0
5910,72,0
5970,72,0
6120,77,0
6255,70,0
6285,70,0
6330,70,0
6390,70,0
6450,72,0
6510,74,0
6570,74,0
6690,74,0
6735,65,0
6765,65,0
6810,65,0
6870,65,0
6930,65,0
7080,72,0
7260,77,0
7320,79,0
7350,77,0
7410,79,0
7470,77,0
7530,75,0
7590,74,0
7650,70,0
7740,72,0
7860,65,0
7950,70,0
8010,74,0
8220,77,0
8280,79,0
8310,77,0
8370,79,0
8430,77,0
8490,75,0
8550,74,0
8610,70,0
8700,65,0
8820,74,0
8910,72,0
8970,70,0
9150,74,0
9210,74,0
9270,74,0
9330,70,0
9420,65,0
9540,65,0
9630,74,0
9690,74,0
9750,74,0
9810,70,0
9960,74,0
10110,77,0
10170,77,0
10230,74,0
10290,70,0
10350,65,0
10410,65,0
10500,65,0
10590,67,0
10650,69,0
10710,70,0
10770,74,0
10920,72,0
11070,74,0
11130,74,0
11190,74,0
11250,70,0
11340,65,0
11460,65,0
11550,74,0
11610,74,0
11670,74,0
11730,70,0
11880,74,0
12060,77,0
12120,79,0
12150,77,0
12210,79,0
12270,77,0
12330,75,0
12390,74,0
12450,70,0
12540,65,0
12660,74,0
12750,72,0
12810,70,0
12975,75,0
13005,75,0
13050,75,0
13110,75,0
13170,77,0
13230,79,0
13290,79,0
13410,79,0
13455,72,0
13485,72,0
13530,72,0
13590,72,0
13650,72,0
13800,77,0
13935,70,0
13965,70,0
14010,70,0
14070,70,0
14130,72,0
14190,74,0
14250,74,0
14370,74,0
14415,65,0
14445,65,0
14490,65,0
14550,65,0
14610,65,0
14760,72,0
14940,77,0
15000,79,0
15030,77,0
15090,79,0
15150,77,0
15210,75,0
15270,74,0
15330,70,0
15420,72,0
15540,65,0
15630,70,0
15690,74,0
15900,77,0
15960,79,0
15990,77,0
16050,79,0
16110,77,0
16170,75,0
16230,74,0
16290,70,0
16380,65,0
16500,74,0
16590,72,0
16650,70,0
